Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C4","1nf","C_0805_2012Metric",80.492600,-137.995900,270.000000,top
"C5","1nf","C_0805_2012Metric",80.518000,-131.013200,270.000000,top
"C6","1nf","C_0805_2012Metric",90.449400,-137.515600,270.000000,top
"C7","1nf","C_0805_2012Metric",90.271600,-131.902200,270.000000,top
"C8","1uf","C_0805_2012Metric",57.632600,-122.504200,180.000000,top
"C9","1uf","C_0805_2012Metric",57.353200,-131.749800,180.000000,top
"C10","0.1uf","C_0805_2012Metric",83.591400,-136.093200,180.000000,top
"C11","10uf","C_0805_2012Metric",83.258900,-128.244600,0.000000,top
"C12","1uf","C_0805_2012Metric",86.995000,-128.219200,0.000000,top
"C13","1nf","C_0805_2012Metric",85.471000,-121.485900,270.000000,top
"C14","1nf","C_0805_2012Metric",82.471500,-117.627400,0.000000,top
"C15","1nf","C_0805_2012Metric",101.066600,-121.132600,0.000000,top
"C16","1nf","C_0805_2012Metric",98.221800,-121.234200,90.000000,top
"C17","0.1uf","C_0805_2012Metric",72.161400,-127.025400,90.000000,top
"C18","10uf","C_0805_2012Metric",67.945000,-127.050800,270.000000,top
"C19","1uf","C_0805_2012Metric",70.131800,-127.025400,270.000000,top
"C20","0.1uf","C_0805_2012Metric",88.999559,-115.946800,0.000000,top
"C21","10uf","C_0805_2012Metric",92.735400,-115.951000,0.000000,top
"C22","1uf","C_0805_2012Metric",82.972159,-114.301400,0.000000,top
"D1","BAV99","SOT-23",112.683800,-118.836400,0.000000,top
"D2","BAS316","D_SOD-323",140.639800,-129.717800,90.000000,top
"D3","BAS316","D_SOD-323",139.522200,-117.373400,0.000000,top
"J2","Conn_Coaxial","SMA_Amphenol_132289_EdgeMount",51.358800,-127.135200,180.000000,top
"R1","1k 1%","C_0805_2012Metric",125.247400,-101.168200,270.000000,top
"R2","47k","C_0805_2012Metric",77.751700,-136.245600,0.000000,top
"R3","47k","C_0805_2012Metric",78.511400,-132.842000,90.000000,top
"R4","47k","C_0805_2012Metric",80.518000,-134.518400,90.000000,top
"R5","47k","C_0805_2012Metric",87.630000,-135.991600,180.000000,top
"R6","47k","C_0805_2012Metric",92.278200,-131.876800,270.000000,top
"R7","47k","C_0805_2012Metric",91.188300,-134.721600,0.000000,top
"R8","10k","C_0805_2012Metric",58.801000,-125.272800,270.000000,top
"R9","10k","C_0805_2012Metric",58.801000,-128.854200,90.000000,top
"R10","220","C_0805_2012Metric",61.671200,-121.920000,180.000000,top
"R11","220","C_0805_2012Metric",61.061600,-131.775200,180.000000,top
"R12","8.45k 1%","C_0805_2012Metric",76.657200,-120.548400,0.000000,top
"R13","102k 1%","C_0805_2012Metric",79.552800,-121.465100,270.000000,top
"R14","7.15k 1%","C_0805_2012Metric",82.423000,-120.548400,180.000000,top
"R15","R","C_0805_2012Metric",89.052400,-123.901200,0.000000,top
"R16","R","C_0805_2012Metric",85.420200,-117.830600,90.000000,top
"R17","17.4k 1%","C_0805_2012Metric",92.938600,-123.850400,0.000000,top
"R18","28k 1%","C_0805_2012Metric",98.958400,-124.028200,180.000000,top
"R19","4.12k 1%","C_0805_2012Metric",96.088200,-122.959100,90.000000,top
"R20","1.62k 1%","C_0805_2012Metric",98.935300,-118.491000,0.000000,top
"R21","1k 1%","C_0805_2012Metric",96.088200,-119.430800,270.000000,top
"R22","47k","C_0805_2012Metric",96.062800,-115.722400,90.000000,top
"U2","LM1117-3.3","SOT-223-3_TabPin2",140.665200,-123.063000,270.000000,top
"U3","ADR4525","SOIC-8_3.9x4.9mm_P1.27mm",119.481600,-109.093000,90.000000,top
"U4","AD7171BCPZ","DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm",121.640600,-102.692200,0.000000,top
"U5","OPA2156xD","SOIC-8_3.9x4.9mm_P1.27mm",85.344000,-132.054600,0.000000,top
"U6","OPA2156xD","SOIC-8_3.9x4.9mm_P1.27mm",62.661800,-126.974600,270.000000,top
"U7","OPA2156xD","SOIC-8_3.9x4.9mm_P1.27mm",91.033600,-119.888000,0.000000,top
