Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,1nf,C_0805_2012Metric,206.59114,-79.78648,0,top
C5,330pF,C_0805_2012Metric,200.95464,-81.84388,0,top
C6,2.2nF,C_0805_2012Metric,193.94424,-83.90128,0,top
C7,150pF,C_0805_2012Metric,192.16624,-77.01788,90,top
C9,1uf,C_0805_2012Metric,197.01764,-68.88988,270,top
C10,0.1uf,C_0805_2012Metric,199.07504,-55.14848,90,top
C11,10uf,C_0805_2012Metric,199.50684,-72.75068,270,top
C12,1uf,C_0805_2012Metric,196.96684,-55.14848,270,top
C17,0.1uf,C_0805_2012Metric,196.28104,-58.42508,180,top
C18,10uf,C_0805_2012Metric,196.25564,-60.48248,0,top
C19,1uf,C_0805_2012Metric,192.21704,-68.17868,0,top
J1,Conn_Coaxial,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,171.66336,-38.44544,180,top
J3,Conn_Coaxial,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,150.07336,-38.44544,180,top
J6,Conn_Coaxial,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,126.473204,-38.31844,180,top
R1,680ohm 1%,C_0805_2012Metric,204.53604,-81.92008,180,top
R2,11k 1%,C_0805_2012Metric,208.11744,-81.92008,180,top
R3,11k 1%,C_0805_2012Metric,203.54036,-84.01812,180,top
R4,16k 1%,C_0805_2012Metric,201.71664,-79.07528,270,top
R5,13k 1%,C_0805_2012Metric,197.44944,-81.84388,0,top
R6,13k 1%,C_0805_2012Metric,191.04864,-82.60588,270,top
R7,12k 1%,C_0805_2012Metric,190.18504,-77.01788,270,top
R8,300ohm,C_0805_2012Metric,216.76436,-57.18016,0,top
R9,10k,C_0805_2012Metric,194.93484,-68.88988,270,top
R11,220,C_0805_2012Metric,199.07504,-68.88988,270,top
R23,680ohm 1%,C_0805_2012Metric,200.06564,-84.03336,180,top
R24,430ohm 1%,C_0805_2012Metric,203.79944,-79.07758,90,top
R25,2k 1%,C_0805_2012Metric,193.94424,-81.84388,0,top
R26,2k 1%,C_0805_2012Metric,191.45504,-79.76108,0,top
R27,820ohm 1%,C_0805_2012Metric,188.68644,-80.47228,270,top
U1,OPA2211AIDDAR,SOIC-8_3.9x4.9mm_P1.27mm,205.61808,-93.63964,270,top
U5,OPA2211AIDDAR,SOIC-8_3.9x4.9mm_P1.27mm,196.96684,-78.05928,90,top
U6,OPA2211AIDDAR,SOIC-8_3.9x4.9mm_P1.27mm,194.27444,-64.36868,270,top
